Date,ADM,BF-B,CAG,CL,CLX,COST,CPB,EL,GIS,HRL,HSY,K,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,SJM,STZ,SYY,TAP,TSN,WBA,WMT
2008-07-31,19.42224884033203,11.647619247436523,10.377458572387695,25.828325271606445,34.83026885986328,45.09807205200195,22.831636428833008,18.291915893554688,19.63405990600586,6.660186290740967,25.429189682006836,29.163795471191406,32.173240661621094,15.889975547790527,10.670801162719727,14.472285270690918,14.74090576171875,1.9049999713897705,8.119261741638184,42.29066848754883,41.7020378112793,29.304271697998047,19.195280075073242,17.986709594726562,37.532867431640625,11.522417068481445,22.077747344970703,41.676876068115234
2008-08-01,19.10340118408203,11.540792465209961,10.214713096618652,25.88743782043457,34.80470275878906,44.75269317626953,22.49901580810547,18.325101852416992,19.621854782104492,6.6693925857543945,25.207889556884766,28.834014892578125,32.18436813354492,16.395992279052734,10.572702407836914,14.57235050201416,14.641656875610352,1.8933329582214355,8.338702201843262,42.33513259887695,41.36449432373047,29.340347290039062,19.043642044067383,18.031103134155273,37.83887481689453,11.49921703338623,21.814159393310547,41.05833435058594
2008-08-04,18.58782386779785,11.618486404418945,10.329590797424316,26.050888061523438,35.450191497802734,44.982948303222656,22.844194412231445,18.569826126098633,20.030452728271484,6.733839511871338,25.50527000427246,29.641990661621094,32.790775299072266,16.63048553466797,10.542509078979492,14.599641799926758,14.917359352111816,1.7833329439163208,8.406530380249023,42.995941162109375,41.91857147216797,29.448562622070312,18.90984344482422,18.138925552368164,37.852783203125,11.592016220092773,22.077747344970703,41.54179382324219
2008-08-05,17.549880981445312,11.917930603027344,10.343949317932129,26.374305725097656,36.24266052246094,46.50106430053711,23.001087188720703,19.1837100982666,20.182920455932617,6.956645488739014,26.003204345703125,29.87833023071289,33.69762420654297,16.94210433959961,10.927385330200195,14.70879077911377,15.156298637390137,1.8333330154418945,8.526219367980957,43.53600311279297,43.287837982177734,30.254220962524414,19.311235427856445,18.678022384643555,33.50628662109375,12.496794700622559,22.80425262451172,42.89972686767578
2008-08-06,18.560684204101562,12.057129859924316,10.501910209655762,26.471675872802734,36.5877571105957,47.40267562866211,23.070117950439453,19.245925903320312,20.335386276245117,7.008203029632568,27.8220272064209,30.10917854309082,33.703189849853516,17.080951690673828,10.84437370300293,14.681503295898438,15.428323745727539,1.8191670179367065,8.47435188293457,43.548728942871094,43.16046905517578,30.416545867919922,19.62342071533203,18.678022384643555,34.897159576416016,12.6901273727417,23.022844314575195,43.198341369628906
2008-08-07,17.658432006835938,11.757688522338867,10.224284172058105,26.346481323242188,35.808067321777344,47.474815368652344,22.69356346130371,19.001195907592773,20.03654670715332,6.923495769500732,27.994937896728516,29.438617706298828,32.507041931152344,16.664417266845703,10.840601921081543,14.531414985656738,14.99087905883789,1.8041670322418213,8.334707260131836,43.17384719848633,42.97578811645508,30.109922409057617,19.409351348876953,18.113554000854492,34.5633544921875,12.24160099029541,22.6563777923584,40.49666213989258
2008-08-08,17.97049331665039,12.095979690551758,10.521056175231934,27.219371795654297,37.5975227355957,48.31870651245117,23.46550178527832,19.241769790649414,20.454299926757812,6.562594413757324,28.06410026550293,30.62034034729004,34.170509338378906,17.096376419067383,10.983983993530273,14.91800308227539,15.273931503295898,1.9358329772949219,8.358646392822266,44.06337356567383,44.345035552978516,30.572872161865234,20.122920989990234,18.944393157958984,34.70940017700195,12.612792015075684,23.49858856201172,41.13653564453125
2008-08-11,17.86873435974121,12.479594230651855,10.50670051574707,27.07331085205078,38.08960723876953,48.398040771484375,23.81694793701172,18.930686950683594,20.56711769104004,6.407917022705078,28.589698791503906,30.62034034729004,34.148258209228516,17.077871322631836,11.440549850463867,14.922553062438965,15.244525909423828,2.163332939147949,8.47435188293457,44.012535095214844,44.21766662597656,31.120004653930664,20.140769958496094,19.756206512451172,34.15998077392578,13.06131649017334,23.60789680480957,41.63420104980469
2008-08-12,18.25541114807129,12.409992218017578,10.51148509979248,27.104598999023438,38.27496337890625,48.888519287109375,23.72909927368164,18.835290908813477,20.44820213317871,6.431856155395508,28.250825881958008,30.477432250976562,34.509883880615234,16.905086517333984,11.451866149902344,14.858880043029785,15.314362525939941,2.269166946411133,8.661872863769531,44.23491287231445,44.797218322753906,30.993741989135742,19.873178482055664,19.88939666748047,34.716339111328125,13.20051097869873,23.852197647094727,42.12478256225586
2008-08-13,18.23505973815918,12.3403902053833,10.616789817810059,26.90985679626465,37.706153869628906,48.28986358642578,23.716535568237305,18.64863395690918,20.45734977722168,6.4171247482299805,28.202407836914062,30.087177276611328,34.29847717285156,17.03466796875,11.190743446350098,14.945295333862305,15.21143913269043,2.249166965484619,8.598039627075195,44.3111686706543,44.32592010498047,30.55209732055664,19.74830436706543,19.997211456298828,34.61898422241211,12.674661636352539,23.730043411254883,41.31672286987305
2008-08-14,18.05868911743164,12.453695297241211,10.635934829711914,26.95506477355957,37.878726959228516,48.42691421508789,23.779296875,21.25762367248535,20.48784637451172,6.411602020263672,28.48595428466797,30.0157470703125,34.73240280151367,16.97604751586914,11.474574089050293,14.867980003356934,15.064393997192383,2.498332977294922,8.538193702697754,44.43825149536133,44.3959846496582,32.875274658203125,19.50746726989746,20.168458938598633,34.41731643676758,13.030386924743652,23.890777587890625,41.4737434387207
2008-08-15,17.773759841918945,12.555668830871582,10.808256149291992,27.271535873413086,38.690345764160156,49.04720687866211,23.829504013061523,21.560413360595703,20.643346786499023,6.442902565002441,28.783329010009766,30.504915237426758,35.0050163269043,16.988393783569336,11.372396469116211,14.990777969360352,15.266573905944824,2.3858330249786377,8.617986679077148,44.60343551635742,45.59966278076172,33.69200134277344,19.676944732666016,20.498252868652344,34.50771713256836,12.95305061340332,23.96150016784668,42.380340576171875
2008-08-18,17.278528213500977,12.452080726623535,10.645508766174316,27.03853416442871,38.54338073730469,48.62165451049805,23.69142723083496,20.98386573791504,20.23475456237793,6.453954219818115,26.079273223876953,30.059709548950195,34.91600036621094,16.763147354125977,10.78958511352539,14.858880043029785,15.137923240661621,2.382499933242798,8.514249801635742,44.35564041137695,45.38949966430664,34.09735870361328,19.150676727294922,20.409461975097656,34.12522888183594,12.759723663330078,23.937631607055664,41.994873046875
