,Price,GDP,RATE_10,URATE,CPI,PPI,HOUSE,SAVE,Index Enterprise Value,Adjusted Price/Earnings ratio,Adjusted Price/Estimated Earnings,BEst Div Yld,Total Debt to Total Equity,Current Market Cap,Profit Margin,SMA_10d,SMA_20d,SMA_60d,EMA_10d,EMA_20d,EMA_60d,MOM_10d,MOM_20d,MOM_60d,RSI_10d,RSI_20d,RSI_60d
2006-12-08,1.7895925045013428,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2165.9841,9.8899,19.9885,1.873,101.9684,1296637.5,4.0571,1.7740959048271179,1.7625551879405976,,1.775960483570137,1.7640948017509048,,0.023700714111328125,0.04630863666534446,,89.65268297559032,89.5165878788844,
2006-12-11,1.787768840789795,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2167.6353,9.8994,20.0074,1.8713,101.9684,1295935.39,4.0571,1.776283609867096,1.7645788729190826,,1.7781074576100748,1.766349472135561,,0.021877050399780273,0.04047369956970215,,84.28800124764209,86.40820268363775,
2006-12-12,1.7946971654891968,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2173.7037,9.9345,20.0566,1.8647,101.9684,1294935.64,4.0571,1.7791641473770141,1.766948974132538,,1.7811237681335514,1.7690492524549548,,0.02880537509918213,0.047402024269104004,,87.45642330100584,88.06548319625264,
2006-12-13,1.792873501777649,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2170.1447,9.9164,20.0209,1.8685,101.9684,1293486.15,4.0578,1.7818623185157776,1.7692278921604156,,1.7832600833415693,1.7713182285809257,,0.026981711387634277,0.04557836055755615,,82.58573176010927,85.18750210604735,
2006-12-14,1.792873501777649,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2178.6554,9.9655,20.1244,1.8593,101.9684,1299327.1,4.0574,1.785180354118347,1.7715068101882934,,1.7850079776026746,1.7733711117425184,,0.0331803560256958,0.04557836055755615,,82.58573176010925,85.18750210604735,
2006-12-15,1.792873501777649,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2176.9153,9.9555,20.106,1.8611,101.9684,1301739.84,4.0574,1.7884983897209168,1.7737857282161713,,1.7864380729072153,1.7752284822220545,,0.0331803560256958,0.04557836055755615,,82.58573176010927,85.18750210604735,
2006-12-18,1.792873501777649,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2188.5881,9.9389,19.9454,1.8568,101.9684,1301619.93,4.0574,1.7896286606788636,1.776064646244049,,1.7876081508836579,1.7769089602749684,,0.011302709579467773,0.04557836055755615,,82.58573176010927,85.18750210604735,
2006-12-19,1.792873501777649,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2191.0873,9.9533,19.9755,1.854,101.9684,1303134.52,4.0574,1.7907589316368102,1.778343564271927,,1.788565487409838,1.7784293927990331,,0.011302709579467773,0.04557836055755615,,82.58573176010927,85.18750210604735,
2006-12-20,1.792873501777649,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2187.2662,9.9317,19.9395,1.8584,101.9684,1300342.25,4.0576,1.791889202594757,1.7806224822998047,,1.78934876274944,1.779805022225568,,0.011302709579467773,0.04557836055755615,,82.58573176010927,85.18750210604735,
2006-12-21,1.792873501777649,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2189.9479,9.9472,19.9295,1.8557,101.9684,1300455.75,4.0576,1.7922173023223877,1.7819715678691863,,1.7899896243909326,1.7810496393257662,,0.0032809972763061523,0.026981711387634277,,82.58573176010927,85.18750210604735,
2006-12-22,1.792873501777649,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2187.8681,9.9352,19.9003,1.8581,101.9684,1295951.25,4.0576,1.7925454020500182,1.7833206534385682,,1.790513965733972,1.7821757214640408,,0.0032809972763061523,0.026981711387634277,,82.58573176010927,85.18750210604735,
2006-12-26,1.792873501777649,3557633.0,2.12213778,4.4,85.3665911446577,165.6,1649.0,2.6,2192.2255,9.9604,19.9533,1.8534,101.9684,1301346.29,4.0576,1.7930558681488038,1.7846697390079498,,1.7909429722873678,1.7831945576843844,,0.005104660987854004,0.026981711387634277,,82.58573176010928,85.18750210604735,
